id,name,aliases,equipment,category,laterality,loading,setup,primary_muscle,credited_muscles,fractional_allocations,rationale,confidence,allocation_confidence,source_ids,limitations
p5-smith-seated-calf-raise,Smith Seated Calf Raise,,Smith machine,Bent-knee plantarflexion,bilateral,external,"Sit under padded fixed bar on distal thighs; knees flexed, forefeet on block.",Soleus,Soleus,Soleus=1,Bent-knee plantarflexion retains soleus loading while shortening gastrocnemius; routine gastrocnemius credit is omitted conservatively.,medium,Soleus=medium,anatomy-lower | calf,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Machine lever arms, cable routing, cams and seat settings vary; match the described joint path rather than a product label."
p5-seated-band-plantarflexion,Seated Band Plantarflexion,,Resistance band,Bent-knee plantarflexion,unilateral,external,"Band around forefoot, knee flexed; press forefoot away against tension.",Soleus,Soleus,Soleus=1,Bent-knee plantarflexion retains soleus loading while shortening gastrocnemius; routine gastrocnemius credit is omitted conservatively.,medium,Soleus=medium,anatomy-lower | calf,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-pelvis-restrained-lumbar-extension,Pelvis-Restrained Lumbar Extension,,Selectorized machine,Spinal extension,bilateral,external,Secure pelvis on lumbar extension machine; extend spine through controlled comfortable ROM.,Erector Spinae,Erector Spinae,Erector Spinae=1,Intentional spinal extension against resistance directly loads spinal extensors; distinguish it from neutral-spine hip extension.,medium,Erector Spinae=medium,anatomy-neck | lumbar | lumbar-counter,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-roman-chair-spinal-extension,Roman-Chair Spinal Extension,,Roman chair,Spinal extension,bilateral,bodyweight/weighted/assisted,"Pelvis supported; deliberately extend thoracolumbar spine through modest comfortable ROM, rather than only hinging hips.",Erector Spinae,Erector Spinae,Erector Spinae=1,Intentional spinal extension against resistance directly loads spinal extensors; distinguish it from neutral-spine hip extension.,medium,Erector Spinae=medium,anatomy-neck | lumbar | lumbar-counter,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-prone-trunk-extension,Prone Trunk Extension,,Bodyweight,Spinal extension,bilateral,bodyweight,"Pelvis and legs supported on floor; lift trunk modestly through spinal extension, no violent arching.",Erector Spinae,Erector Spinae,Erector Spinae=1,Intentional spinal extension against resistance directly loads spinal extensors; distinguish it from neutral-spine hip extension.,medium,Erector Spinae=medium,anatomy-neck | lumbar | lumbar-counter,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-floor-crunch,Floor Crunch,Abdominal crunch,Bodyweight,Trunk flexion / posterior pelvic curl,bilateral,bodyweight/weighted/assisted,Curl ribcage toward pelvis; avoid pulling head forward.,Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-reverse-crunch,Reverse Crunch,Pelvic curl,Bodyweight,Trunk flexion / posterior pelvic curl,bilateral,bodyweight/weighted/assisted,Knees bent; curl pelvis toward ribs rather than only flexing hips.,Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-decline-crunch,Decline Crunch,,Bodyweight,Trunk flexion / posterior pelvic curl,bilateral,bodyweight/weighted/assisted,"Feet secured, decline bench; curl trunk without turning movement into hip-dominant sit-up.",Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-hanging-knee-raise-with-pelvic-curl,Hanging Knee Raise with Pelvic Curl,,Bodyweight,Trunk flexion / posterior pelvic curl,bilateral,bodyweight/weighted/assisted,Hang from bar; raise knees then actively curl pelvis toward ribs without swinging.,Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-captain-chair-knee-raise-with-pelvic-curl,Captain-Chair Knee Raise with Pelvic Curl,,Bodyweight,Trunk flexion / posterior pelvic curl,bilateral,bodyweight/weighted/assisted,Forearms supported; curl pelvis toward ribs at top rather than just lifting thighs.,Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-hanging-straight-leg-raise-with-pelvic-curl,Hanging Straight-Leg Raise with Pelvic Curl,,Bodyweight,Trunk flexion / posterior pelvic curl,bilateral,bodyweight/weighted/assisted,"Knees straight; raise legs and actively posteriorly tilt pelvis, no swinging.",Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-stability-ball-crunch,Stability-Ball Crunch,,Bodyweight,Trunk flexion / posterior pelvic curl,bilateral,bodyweight/weighted/assisted,Upper back on ball; controlled spinal flexion from slight extension.,Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-kneeling-cable-crunch,Kneeling Cable Crunch,,Cable,Trunk flexion / posterior pelvic curl,bilateral,external,"High rope pulley, hips stay relatively still; flex trunk against cable.",Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-seated-cable-crunch,Seated Cable Crunch,,Cable,Trunk flexion / posterior pelvic curl,bilateral,external,Sit facing away from high pulley; curl ribs toward pelvis against rope.,Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-seated-abdominal-crunch-machine,Seated Abdominal Crunch Machine,,Selectorized machine,Trunk flexion / posterior pelvic curl,bilateral,external,Seat/pads aligned; loaded trunk flexion rather than arm-only pulling.,Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-kneeling-band-crunch,Kneeling Band Crunch,,Resistance band,Trunk flexion / posterior pelvic curl,bilateral,external,"High anchor; curl trunk against band, keep hip angle relatively stable.",Abdominals,Abdominals,Abdominals=1,Resisted trunk flexion or deliberate posterior pelvic curling directly loads rectus abdominis. Hip flexion alone does not qualify.,medium,Abdominals=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-kneeling-ab-wheel-rollout,Kneeling Ab-Wheel Rollout,Ab roller,Ab wheel,Targeted trunk anti-extension,bilateral,bodyweight,"Start on knees; roll forward while resisting lumbar extension, return under control.",Abdominals,Abdominals,Abdominals=1,"Here trunk anti-extension is the intended, limiting resisted task, not incidental bracing in another lift. Full credit is a low-confidence isometric-to-dynamic accounting convention.",low,Abdominals=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-standing-ab-wheel-rollout,Standing Ab-Wheel Rollout,,Ab wheel,Targeted trunk anti-extension,bilateral,bodyweight,Begin from feet; roll only as far as trunk position can be controlled.,Abdominals,Abdominals,Abdominals=1,"Here trunk anti-extension is the intended, limiting resisted task, not incidental bracing in another lift. Full credit is a low-confidence isometric-to-dynamic accounting convention.",low,Abdominals=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-forearm-plank,Forearm Plank,,Bodyweight,Targeted trunk anti-extension,bilateral,bodyweight,"Elbows under shoulders; purposeful challenging anti-extension bout, no sagging.",Abdominals,Abdominals,Abdominals=1,"Here trunk anti-extension is the intended, limiting resisted task, not incidental bracing in another lift. Full credit is a low-confidence isometric-to-dynamic accounting convention.",low,Abdominals=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-long-lever-plank,Long-Lever Plank,,Bodyweight,Targeted trunk anti-extension,bilateral,bodyweight,Elbows farther ahead of shoulders increase anti-extension moment; maintain posterior pelvic control.,Abdominals,Abdominals,Abdominals=1,"Here trunk anti-extension is the intended, limiting resisted task, not incidental bracing in another lift. Full credit is a low-confidence isometric-to-dynamic accounting convention.",low,Abdominals=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-suspension-body-saw,Suspension Body Saw,,Bodyweight,Targeted trunk anti-extension,bilateral,bodyweight,Feet in straps; shift rigid torso forward/back while resisting lumbar extension.,Abdominals,Abdominals,Abdominals=1,"Here trunk anti-extension is the intended, limiting resisted task, not incidental bracing in another lift. Full credit is a low-confidence isometric-to-dynamic accounting convention.",low,Abdominals=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-dead-bug,Dead Bug,,Bodyweight,Targeted trunk anti-extension,alternating,bodyweight,"Supine, trunk braced; alternate extending opposite arm/leg without lumbar extension.",Abdominals,Abdominals,Abdominals=1,"Here trunk anti-extension is the intended, limiting resisted task, not incidental bracing in another lift. Full credit is a low-confidence isometric-to-dynamic accounting convention.",low,Abdominals=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-stability-ball-rollout,Stability-Ball Rollout,,Stability ball,Targeted trunk anti-extension,bilateral,bodyweight,Kneel with forearms on ball; roll away while controlling lumbar position.,Abdominals,Abdominals,Abdominals=1,"Here trunk anti-extension is the intended, limiting resisted task, not incidental bracing in another lift. Full credit is a low-confidence isometric-to-dynamic accounting convention.",low,Abdominals=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-cable-trunk-rotation,Cable Trunk Rotation,,Cable,Trunk rotation / lateral flexion,unilateral,external,"Pulley at chest height; controlled trunk rotation with pelvis mostly stable, arms guide handle.",Obliques,Obliques,Obliques=1,Resisted rotation or lateral flexion targets internal/external obliques; pelvic stability and arm movement alone do not qualify.,medium,Obliques=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-high-to-low-cable-woodchop,High-to-Low Cable Woodchop,,Cable,Trunk rotation / lateral flexion,unilateral,external,"High pulley, controlled diagonal trunk rotation/flexion; avoid arm-only pulling.",Obliques,Obliques,Obliques=1,Resisted rotation or lateral flexion targets internal/external obliques; pelvic stability and arm movement alone do not qualify.,medium,Obliques=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-low-to-high-cable-lift,Low-to-High Cable Lift,,Cable,Trunk rotation / lateral flexion,unilateral,external,"Low pulley, controlled upward diagonal trunk rotation; pelvis stays relatively stable.",Obliques,Obliques,Obliques=1,Resisted rotation or lateral flexion targets internal/external obliques; pelvic stability and arm movement alone do not qualify.,medium,Obliques=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-cable-side-bend,Cable Side Bend,,Cable,Trunk rotation / lateral flexion,unilateral,external,Low handle at side; bend trunk laterally through controlled comfortable ROM.,Obliques,Obliques,Obliques=1,Resisted rotation or lateral flexion targets internal/external obliques; pelvic stability and arm movement alone do not qualify.,medium,Obliques=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-dumbbell-side-bend,Dumbbell Side Bend,DB Side Bend,Dumbbell,Trunk rotation / lateral flexion,unilateral,external,"One bell at side, opposite hand unweighted; controlled lateral trunk flexion.",Obliques,Obliques,Obliques=1,Resisted rotation or lateral flexion targets internal/external obliques; pelvic stability and arm movement alone do not qualify.,medium,Obliques=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-side-crunch,Side Crunch,,Bodyweight,Trunk rotation / lateral flexion,unilateral,bodyweight,Lie partly on side; approximate lower ribs and pelvis through lateral flexion.,Obliques,Obliques,Obliques=1,Resisted rotation or lateral flexion targets internal/external obliques; pelvic stability and arm movement alone do not qualify.,medium,Obliques=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-bicycle-crunch,Bicycle Crunch,,Bodyweight,Trunk rotation / lateral flexion,alternating,bodyweight,Controlled trunk rotation and flexion toward opposite knee; no pulling on neck.,Obliques,Obliques,Obliques=1,Resisted rotation or lateral flexion targets internal/external obliques; pelvic stability and arm movement alone do not qualify.,medium,Obliques=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-seated-torso-rotation-machine,Seated Torso Rotation Machine,,Selectorized machine,Trunk rotation / lateral flexion,alternating,external,"Pelvis restrained, rotate trunk against pad/handles through controlled ROM.",Obliques,Obliques,Obliques=1,Resisted rotation or lateral flexion targets internal/external obliques; pelvic stability and arm movement alone do not qualify.,medium,Obliques=medium,anatomy-trunk,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-pallof-press,Pallof Press,Cable anti-rotation press,Cable,Targeted trunk anti-rotation / lateral hold,unilateral,external,"Pulley at chest height, stand sideways; press hands out while resisting rotation.",Obliques,Obliques,Obliques=1,"Resisting trunk rotation or lateral bending is the explicit limiting task. Count a deliberate working bout, not every breath, step or second.",low,Obliques=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-band-pallof-press,Band Pallof Press,,Resistance band,Targeted trunk anti-rotation / lateral hold,unilateral,external,Band anchored at chest height; stand sideways and resist rotation as arms extend.,Obliques,Obliques,Obliques=1,"Resisting trunk rotation or lateral bending is the explicit limiting task. Count a deliberate working bout, not every breath, step or second.",low,Obliques=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-side-plank,Side Plank,,Bodyweight,Targeted trunk anti-rotation / lateral hold,unilateral,bodyweight,Support on forearm and side of foot; resist lateral trunk flexion in deliberate working bout.,Obliques,Obliques,Obliques=1,"Resisting trunk rotation or lateral bending is the explicit limiting task. Count a deliberate working bout, not every breath, step or second.",low,Obliques=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-short-lever-side-plank,Short-Lever Side Plank,,Bodyweight,Targeted trunk anti-rotation / lateral hold,unilateral,bodyweight,"Knees bent and supported; forearm support, purposeful lateral hold.",Obliques,Obliques,Obliques=1,"Resisting trunk rotation or lateral bending is the explicit limiting task. Count a deliberate working bout, not every breath, step or second.",low,Obliques=low,anatomy-trunk | core-emg,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-harness-neck-extension,Harness Neck Extension,,Neck harness,Direct cervical resistance,bilateral,external,Load attached in front below head; extend neck slowly through comfortable ROM without moving trunk.,Neck muscles,Neck muscles,Neck muscles=1,"Direct resisted cervical motion trains the intended neck compartment; it does not imply equal flexor, extensor and lateral-flexor stimulation.",low,Neck muscles=low,anatomy-neck | neck,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Neck is a coarse group: alternate movement directions as needed; extension findings do not validate other directions. Use controlled resistance and comfortable ROM."
p5-machine-neck-extension,Machine Neck Extension,,Selectorized machine,Direct cervical resistance,bilateral,external,"Seated, pad behind head resists extension; torso supported.",Neck muscles,Neck muscles,Neck muscles=1,"Direct resisted cervical motion trains the intended neck compartment; it does not imply equal flexor, extensor and lateral-flexor stimulation.",low,Neck muscles=low,anatomy-neck | neck,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Neck is a coarse group: alternate movement directions as needed; extension findings do not validate other directions. Use controlled resistance and comfortable ROM."
p5-machine-neck-flexion,Machine Neck Flexion,,Selectorized machine,Direct cervical resistance,bilateral,external,"Forehead pad resists flexion; torso supported, avoid shoulder motion.",Neck muscles,Neck muscles,Neck muscles=1,"Direct resisted cervical motion trains the intended neck compartment; it does not imply equal flexor, extensor and lateral-flexor stimulation.",low,Neck muscles=low,anatomy-neck | neck,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Neck is a coarse group: alternate movement directions as needed; extension findings do not validate other directions. Use controlled resistance and comfortable ROM."
p5-machine-neck-lateral-flexion,Machine Neck Lateral Flexion,,Selectorized machine,Direct cervical resistance,unilateral,external,Side head pad resists lateral flexion; shoulders remain level.,Neck muscles,Neck muscles,Neck muscles=1,"Direct resisted cervical motion trains the intended neck compartment; it does not imply equal flexor, extensor and lateral-flexor stimulation.",low,Neck muscles=low,anatomy-neck | neck,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Neck is a coarse group: alternate movement directions as needed; extension findings do not validate other directions. Use controlled resistance and comfortable ROM. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-band-neck-extension,Band Neck Extension,,Resistance band,Direct cervical resistance,bilateral,external,Band around rear of head anchored forward; controlled cervical extension.,Neck muscles,Neck muscles,Neck muscles=1,"Direct resisted cervical motion trains the intended neck compartment; it does not imply equal flexor, extensor and lateral-flexor stimulation.",low,Neck muscles=low,anatomy-neck | neck,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Neck is a coarse group: alternate movement directions as needed; extension findings do not validate other directions. Use controlled resistance and comfortable ROM."
p5-band-neck-flexion,Band Neck Flexion,,Resistance band,Direct cervical resistance,bilateral,external,Band across forehead anchored behind; controlled cervical flexion.,Neck muscles,Neck muscles,Neck muscles=1,"Direct resisted cervical motion trains the intended neck compartment; it does not imply equal flexor, extensor and lateral-flexor stimulation.",low,Neck muscles=low,anatomy-neck | neck,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Neck is a coarse group: alternate movement directions as needed; extension findings do not validate other directions. Use controlled resistance and comfortable ROM."
p5-band-neck-lateral-flexion,Band Neck Lateral Flexion,,Resistance band,Direct cervical resistance,unilateral,external,"Band against side of head, anchor opposite working direction; controlled lateral flexion.",Neck muscles,Neck muscles,Neck muscles=1,"Direct resisted cervical motion trains the intended neck compartment; it does not imply equal flexor, extensor and lateral-flexor stimulation.",low,Neck muscles=low,anatomy-neck | neck,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Neck is a coarse group: alternate movement directions as needed; extension findings do not validate other directions. Use controlled resistance and comfortable ROM. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-manual-resistance-neck-flexion,Manual-Resistance Neck Flexion,,Manual resistance,Direct cervical resistance,bilateral,external,Hand provides gentle progressive resistance at forehead; controlled flexion through comfortable ROM.,Neck muscles,Neck muscles,Neck muscles=1,"Direct resisted cervical motion trains the intended neck compartment; it does not imply equal flexor, extensor and lateral-flexor stimulation.",low,Neck muscles=low,anatomy-neck | neck,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Neck is a coarse group: alternate movement directions as needed; extension findings do not validate other directions. Use controlled resistance and comfortable ROM."
p5-manual-resistance-neck-extension,Manual-Resistance Neck Extension,,Manual resistance,Direct cervical resistance,bilateral,external,Hand or partner provides controlled resistance behind head during extension.,Neck muscles,Neck muscles,Neck muscles=1,"Direct resisted cervical motion trains the intended neck compartment; it does not imply equal flexor, extensor and lateral-flexor stimulation.",low,Neck muscles=low,anatomy-neck | neck,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Neck is a coarse group: alternate movement directions as needed; extension findings do not validate other directions. Use controlled resistance and comfortable ROM."
p5-manual-resistance-neck-lateral-flexion,Manual-Resistance Neck Lateral Flexion,,Manual resistance,Direct cervical resistance,unilateral,external,Hand at side of head supplies controlled resistance; keep shoulders still.,Neck muscles,Neck muscles,Neck muscles=1,"Direct resisted cervical motion trains the intended neck compartment; it does not imply equal flexor, extensor and lateral-flexor stimulation.",low,Neck muscles=low,anatomy-neck | neck,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Neck is a coarse group: alternate movement directions as needed; extension findings do not validate other directions. Use controlled resistance and comfortable ROM. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-seated-barbell-wrist-curl,Seated Barbell Wrist Curl,Seated BB Wrist Curl,Barbell,Wrist flexion,bilateral,external,"Forearms supported, palms up; move wrists rather than elbows.",Wrist flexors,Wrist flexors,Wrist flexors=1,Dynamic wrist flexion directly loads wrist flexors; this differs from finger gripping or elbow flexion.,medium,Wrist flexors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-behind-back-barbell-wrist-curl,Behind-Back Barbell Wrist Curl,Behind-Back BB Wrist Curl,Barbell,Wrist flexion,bilateral,external,"Stand with bar behind hips, palms backward; flex wrists without elbow motion.",Wrist flexors,Wrist flexors,Wrist flexors=1,Dynamic wrist flexion directly loads wrist flexors; this differs from finger gripping or elbow flexion.,medium,Wrist flexors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-supported-dumbbell-wrist-curl,Supported Dumbbell Wrist Curl,Supported DB Wrist Curl,Dumbbell,Wrist flexion,unilateral,external,"Forearm on bench, palm up; flex wrist through comfortable range.",Wrist flexors,Wrist flexors,Wrist flexors=1,Dynamic wrist flexion directly loads wrist flexors; this differs from finger gripping or elbow flexion.,medium,Wrist flexors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-supported-cable-wrist-curl,Supported Cable Wrist Curl,,Cable,Wrist flexion,unilateral,external,"Forearm supported, palm up; cable pulls against wrist flexion.",Wrist flexors,Wrist flexors,Wrist flexors=1,Dynamic wrist flexion directly loads wrist flexors; this differs from finger gripping or elbow flexion.,medium,Wrist flexors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-band-wrist-curl,Band Wrist Curl,,Resistance band,Wrist flexion,unilateral,external,Forearm supported and palm up; band pulls wrist toward extension.,Wrist flexors,Wrist flexors,Wrist flexors=1,Dynamic wrist flexion directly loads wrist flexors; this differs from finger gripping or elbow flexion.,medium,Wrist flexors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-seated-barbell-reverse-wrist-curl,Seated Barbell Reverse Wrist Curl,Seated BB Reverse Wrist Curl,Barbell,Wrist extension,bilateral,external,"Forearms supported, palms down; extend wrists without elbow motion.",Wrist extensors,Wrist extensors,Wrist extensors=1,Dynamic wrist extension directly loads wrist extensors; passive gripping does not receive the same credit.,medium,Wrist extensors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-supported-dumbbell-wrist-extension,Supported Dumbbell Wrist Extension,Dumbbell reverse wrist curl | Supported DB Wrist Extension,Dumbbell,Wrist extension,unilateral,external,"Forearm on bench, palm down; lift back of hand.",Wrist extensors,Wrist extensors,Wrist extensors=1,Dynamic wrist extension directly loads wrist extensors; passive gripping does not receive the same credit.,medium,Wrist extensors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-supported-cable-wrist-extension,Supported Cable Wrist Extension,,Cable,Wrist extension,unilateral,external,Forearm supported palm down; cable resists wrist extension.,Wrist extensors,Wrist extensors,Wrist extensors=1,Dynamic wrist extension directly loads wrist extensors; passive gripping does not receive the same credit.,medium,Wrist extensors=medium,anatomy-upper | wrist,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
